keep,field,ground_truth,acceptable_alternative,n,N,A,B,models,pages,raw_variants,verdict
,place_of_stay,allo scudo di francia san lucca,locanda del carro san moisè,10,0,0,10,claude_thinking,36,Locanda del Carro S. Moisè,wrong
,place_of_stay,allo scudo di francia san lucca,scudo di francia san luca,8,0,8,0,claude_thinking,36,Scudo di Francia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda del dolo san moisè,7,0,7,0,claude_thinking,36,Alla locanda del Dolo S. Moisè,wrong
,place_of_stay,allo scudo di francia san lucca,scudo di francia san lucia,7,7,0,0,claude_thinking,36,Scudo di Francia S. Lucia,wrong
,place_of_stay,allo scudo di francia san lucca,alla regina d'inghilterra,6,6,0,0,gemini,36,,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia san zaccaria,6,0,6,0,gemini,36,Allo Scudo di Francia S. Zaccaria,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia san zulian,6,6,0,0,gemini,36,Allo Scudo di Francia S. Zulian,wrong
,place_of_stay,allo scudo di francia san lucca,casa di giovanni battista fabris a san cassan,6,0,6,0,gemini,36,In Casa di Gio: Battista Fabris a S. Cassan,wrong
,place_of_stay,allo scudo di francia san lucca,allo suedo di francia san luca,5,0,5,0,gpt,36,Allo Suedo di Francia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,locanda del pero san moise,5,0,5,0,claude_thinking,36,Locanda del Pero S. Moise,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia (s luca),4,3,1,0,gpt,36,Allo Scudo di Francia (S. Luca),wrong
,place_of_stay,allo scudo di francia san lucca,allo studio di francia in san luca,4,4,0,0,gpt,36,Allo studio di Francia in S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,locanda del re di san moise,4,0,4,0,claude_thinking,36,Locanda del Re di S. Moise,wrong
,place_of_stay,allo scudo di francia san lucca,locanda di grecia san luca,4,0,4,0,claude_thinking,36,Locanda di Grecia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,o scudo di francia san luca,4,4,0,0,claude_thinking,36,All'o. Scudo di Francia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,all maria del maria san moisè,3,0,3,0,claude_thinking,36,All M. del M. S. Moisè,wrong
,place_of_stay,allo scudo di francia san lucca,all scudo di francia san lucia,3,3,0,0,claude,36,All. Scudo di Francia S. Lucia,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda del corvo san moisè,3,0,3,0,claude_thinking,36,Alla locanda del Corvo S. Moisè,wrong
,place_of_stay,allo scudo di francia san lucca,alla scudo di francia san luca,3,0,3,0,claude_thinking,36,Alla Scudo di Francia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia san paria,3,0,3,0,claude_thinking,36,Allo Scudo di Francia S. paria,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di gracia san pava,3,0,3,0,claude_thinking,36,Allo Scudo di Gracia S. pava,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di grancia san luca,3,3,0,0,claude_thinking,36,Allo Scudo di Grancia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,allo studio di francia san luca,3,3,0,0,gpt,36,Allo studio di Francia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,locanda di grazia san lucia,3,0,3,0,claude_thinking,36,Locanda di Grazia S. Lucia,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda di francia d luca,2,2,0,0,gpt,36,Alla loc. di Francia d. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda francia (sopra),2,2,0,0,gpt,36,,wrong
,place_of_stay,allo scudo di francia san lucca,alla scudo di francia san paola,2,0,2,0,claude_thinking,36,Alla Scudo di Francia S. Paola,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia san golea,2,0,2,0,claude_thinking,36,Allo Scudo di Francia S. golea,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di francia san todea,2,0,2,0,claude_thinking,36,Allo Scudo di Francia S. Todea,wrong
,place_of_stay,allo scudo di francia san lucca,locanda di francia san luca,2,0,2,0,claude_thinking,36,Locanda di Francia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,m.o scudo di francia san luca,2,2,0,0,claude_thinking,36,All'M.o Scudo di Francia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,osteria di francia san luca,2,2,0,0,gpt,36,"All’Osteria di Francia, S. Luca",wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda dell'anima san maria robengo,1,1,0,0,gpt,36,Alla loc. dell'Anima S. M. Robengo,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda dell'aquila d'oro,1,1,0,0,gpt,36,Alla loc. dell'Aquila d'Oro,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda dell'aquila san maria novengo,1,1,0,0,gpt,36,"Alla loc. dell’Aquila, S. M. Novengo",wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda di francia (s moisè),1,1,0,0,gpt,36,Alla locanda di Francia (S. Moisè),wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda di francia di luca,1,1,0,0,gpt,36,Alla loc. di Francia di Luca,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda di francia san luca,1,1,0,0,gpt,36,Alla loc. di Francia s. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda francia san luca,1,1,0,0,gpt,36,Alla locanda Francia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda san maria lodovico,1,1,0,0,gpt,36,Alla locanda S. M. Lodovico,wrong
,place_of_stay,allo scudo di francia san lucca,alla locanda valentina san maria zobenigo,1,0,1,0,gpt,36,Alla locanda Valentina S. M. Zobenigo,wrong
,place_of_stay,allo scudo di francia san lucca,allo scudo di gracia san luca,1,0,1,0,claude_thinking,36,Allo Scudo di Gracia S. Luca,wrong
,place_of_stay,allo scudo di francia san lucca,casa di valentin todeschini locanda in san moisè,1,1,0,0,gemini,36,In casa di Valentin Todeschini loc: in S. Moisè,wrong
,place_of_stay,casa d'isach morpurgo,casa d'issach morpurgo,28,8,20,0,claude_thinking gemini,28,in Casa d'Issach Morpurgo,wrong
,place_of_stay,casa d'isach morpurgo,casa d'isaach morango,16,10,6,0,gpt,28,in casa d'Isaach morango | in casa d’Isaach Morango | in casa d’Isaach morango,wrong
,place_of_stay,casa d'isach morpurgo,casa d'isach morango,9,1,8,0,gpt,28,in casa d’Isach Morango,wrong
,place_of_stay,casa d'isach morpurgo,casa d'isaach morpurgo,8,4,4,0,gpt,28,in casa d'Isaach Morpurgo | in casa d’Isaach Morpurgo,wrong
,place_of_stay,casa d'isach morpurgo,casa di isach marpurgo,2,2,0,0,claude_thinking,28,in Casa di Isach Marpurgo,wrong
,place_of_stay,casa d'isach morpurgo,casa di issach monpurgo,2,2,0,0,claude_thinking,28,,wrong
,place_of_stay,casa d'isach morpurgo,casa di issach morpurgo,2,2,0,0,claude_thinking,28,,wrong
,place_of_stay,casa del quondam beniamin ottolengo,casa del sig beniamin ottolengo,16,10,6,0,claude,28,casa del Sig. Beniamin Ottolengo | in casa del Sig. Beniamin Ottolengo,wrong
,place_of_stay,casa del quondam beniamin ottolengo,casa del quondam boniamin ottolengo,9,7,2,0,gemini,28,Casa del qm Boniamin Ottolengo | in Casa del qm Boniamin Ottolengo,wrong
,place_of_stay,casa del quondam beniamin ottolengo,casa del sig beniamin ostolengo,5,0,5,0,claude claude_thinking,28,in casa del Sig. Beniamin Ostolengo,wrong
,place_of_stay,casa del quondam beniamin ottolengo,casa del gm beniamin ottolengo,2,2,0,0,claude_thinking,28,in casa del gm Beniamin Ottolengo,wrong
,place_of_stay,casa del quondam beniamin ottolengo,casa del quondam beniamin ostolengo,2,1,1,0,claude_thinking,28,casa del qm Beniamin Ostolengo | in casa del q.m Beniamin Ostolengo,wrong
,place_of_stay,casa del quondam beniamin ottolengo,casa del gen beniamin ottolengo,1,1,0,0,claude_thinking,28,casa del gen. Beniamin Ottolengo,wrong
,place_of_stay,casa del quondam beniamin ottolengo,casa del quondam beniamin ottolenghi,1,0,1,0,claude_thinking,28,in casa del q.m Beniamin Ottolenghi,wrong
,place_of_stay,casa del quondam beniamin ottolengo,casa del quondam beniamin ottolengho,1,0,1,0,claude_thinking,28,in casa del qm Beniamin Ottolengho,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del quondam emanuel pegaro,71,31,40,0,claude_thinking gemini gpt,28,Casa del qm Emanuel Pegaro | alloggio in casa del q.m Emanuel Pegaro | alloggiò in casa del q.m Emanuel Pegaro | alloggiò in casa del qm Emanuel Pegaro | allogio in casa del qm Emanuel Pegaro | casa del q.m Emanuel Pegaro | in casa del q.m Emanuel Pegaro | in casa del qm Emanuel Pegaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del sig emanuel pesaro,34,3,31,0,claude claude_thinking,28,allogio in casa del Sig. Emanuel Pesaro | casa del Sig. Emanuel Pesaro | in casa del Sig. Emanuel Pesaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del sig emanuel pegaro,30,27,3,0,claude,28,allogio in casa del Sig. Emanuel Pegaro | casa del Sig. Emanuel Pegaro | in casa del Sig. Emanuel Pegaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,(blank),25,15,10,0,claude claude_thinking,28,,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del quondam emanuel pavan,16,0,16,0,gpt,28,alloggiò in casa del q.m Emanuel Pavan | in casa del q.m Emanuel Pavan,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del quondam emanuele pegaro,7,7,0,0,gpt,28,alloggiò in casa del qm Emanuele Pegaro | in casa del q.m Emanuele Pegaro | in casa del qm Emanuele Pegaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del gen emanuel lezaro,4,4,0,0,claude_thinking,28,casa del gen. Emanuel Lezaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del gm emanuel pesaro,4,4,0,0,claude_thinking,28,,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del quondam emanuel pejaro,4,0,4,0,claude_thinking,28,in casa del q.m Emanuel Pejaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del quondam emanuel pijava,4,4,0,0,gemini,28,Casa del qm Emanuel Pijava,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del quondam emanuele peyaro,4,4,0,0,gpt,28,in casa del qm Emanuele Peyaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del quondam emanuello pegaro,4,4,0,0,gpt,28,alloggiò in casa del q.m Emanuello Pegaro | in casa del q.m Emanuello Pegaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del sig emanuel pavan,4,4,0,0,gpt,28,in casa del sig. Emanuel Pavan,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del gm emanuel pegaro,3,3,0,0,claude_thinking,28,allogio in casa del gm Emanuel Pegaro | in casa del gm Emanuel Pegaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del sig.r emanuele pegaro,3,3,0,0,gpt,28,in casa del sig.r Emanuele Pegaro,wrong
,place_of_stay,casa del quondam emanuel pesaro,casa del sig.r beniamin ottolengo,1,1,0,0,gpt,28,in casa del sig.r Beniamin Ottolengo,wrong
,place_of_stay,casa del quondam emanuel pesaro,ospizio de roveri,1,1,0,0,gpt,28,all’osp. de Roveri,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon tedesco,21,10,11,0,claude_thinking gemini31,28,casa del qm Simon Tedesco | in casa del q.m Simon Tedesco | in casa del qm Simon Tedesco,wrong
,place_of_stay,casa del quondam simon todesco,casa del sig simon todesco,13,3,10,0,claude,28,casa del Sig. Simon Todesco | in casa del Sig. Simon Todesco,wrong
,place_of_stay,casa del quondam simon todesco,casa del sig simon tolesco,3,3,0,0,claude,28,casa del Sig. Simon Tolesco,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon mandolin,2,2,0,0,gemini,28,Casa del qm Simon Mandolin,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon volese,2,0,2,0,claude_thinking,28,in casa del q.m Simon Volese | in casa del qm Simon Volese,wrong
,place_of_stay,casa del quondam simon todesco,casa del sig simon tolese,2,2,0,0,claude,28,casa del Sig. Simon Tolese,wrong
,place_of_stay,casa del quondam simon todesco,casa del sig simon tolyco,2,2,0,0,claude,28,casa del Sig. Simon Tolyco,wrong
,place_of_stay,casa del quondam simon todesco,casa del gen simon volpese,1,1,0,0,claude_thinking,28,casa del gen. Simon Volpese,wrong
,place_of_stay,casa del quondam simon todesco,casa del gm simon tedesco,1,1,0,0,claude_thinking,28,in casa del gm Simon Tedesco,wrong
,place_of_stay,casa del quondam simon todesco,casa del gm simon volpes,1,1,0,0,claude_thinking,28,,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon cologna,1,1,0,0,claude_thinking,28,,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon colyco,1,0,1,0,claude_thinking,28,in casa del q.m Simon Colyco,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon mandolin todros,1,1,0,0,gemini,28,Casa del qm Simon Mandolin Todros,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon nolego,1,1,0,0,gpt,28,in casa del qm Simon Nolego,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon polese,1,1,0,0,claude_thinking,28,in casa del qm Simon Polese,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon tolyco,1,0,1,0,claude_thinking,28,in casa del q.m Simon Tolyco,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon volisce,1,0,1,0,claude_thinking,28,in casa del qm Simon Volisce,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon volpes,1,0,1,0,claude_thinking,28,in casa del qm Simon Volpes,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon volsce,1,1,0,0,claude_thinking,28,casa del qm Simon Volsce,wrong
,place_of_stay,casa del quondam simon todesco,casa del quondam simon volsea,1,1,0,0,claude_thinking,28,casa del qm Simon Volsea,wrong
,place_of_stay,casa del quondam simon todesco,casa del sig simon colesce,1,0,1,0,claude_thinking,28,in casa del Sig. Simon Colesce,wrong
,place_of_stay,casa di benetto polacco,casa di boneto polacco,20,10,10,0,gemini31,28,in casa di Boneto Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di zuane polacco,19,7,12,0,claude claude_thinking,28,in casa di Zuane Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di rachele polacco,12,3,9,0,gpt,28,in casa di Rachele Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di zurio polacco,12,10,2,0,claude claude_thinking,28,in casa di Zurio Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di benedetto polacco,3,3,0,0,gemini,28,,wrong
,place_of_stay,casa di benetto polacco,casa di zuio polacco,2,0,2,0,claude_thinking,28,in casa di Zuio Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di bardo polacco,1,1,0,0,claude_thinking,28,in casa di Bardo Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di bortis polacco,1,0,1,0,claude_thinking,28,in casa di Bortis Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di rachele volacca,1,1,0,0,gpt,28,in casa di Rachele Volacca,wrong
,place_of_stay,casa di benetto polacco,casa di ranto polacco,1,1,0,0,gpt,28,in casa di Ranto Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di zanto polacco,1,1,0,0,gpt,28,in casa di Zanto Polacco,wrong
,place_of_stay,casa di benetto polacco,casa di zorzi polacco,1,1,0,0,claude_thinking,28,,wrong
,place_of_stay,casa di benetto polacco,casa di zuito polacco,1,0,1,0,claude_thinking,28,in casa di Zuito Polacco,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon darij,141,0,0,141,claude claude_thinking gemini gemini31 gpt,39,In Casa di Bon Darij | In casa di Bon Darij,wrong
,place_of_stay,casa di bon darij santi apostoli,(blank),30,11,10,9,claude_thinking gemini,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al servizio del re di prussia,24,4,20,0,claude claude_thinking gemini31,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di ben danijel in santi apostoli,20,20,0,0,gemini31,39,In Casa di Ben Danijel in S.ti Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di ben sanjoc in santi apostoli,12,0,12,0,gemini31,39,In Casa di Ben Sanjoc in S.ti Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,al servitio del re di prussia,10,10,0,0,gemini31,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon savizjoc in santi apostoli,9,9,0,0,gemini,39,In Casa di Bon Savizjoc in S.ti Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon darif in san christofolo,8,0,8,0,claude,39,In Casa di Bon Darif in S. Christofolo,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon savioni in santi apostoli,8,0,8,0,gemini,39,In Casa di Bon Savioni in S.S. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,al servizio del re di prussia con un domestico,6,6,0,0,claude,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon danijel in santi apostoli,6,0,6,0,gemini31,39,In Casa di Bon Danijel in S.ti Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon savignoc in santi apostoli,6,0,6,0,gemini,39,In Casa di Bon Savignoc in S.S. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon savizoc in santi apostoli,6,0,6,0,gemini,39,In Casa di Bon Savizoc in S.S. Apostoli | In Casa di Bon Savizoc in SS. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dazzi ec in san chrisol,5,5,0,0,claude,39,In Casa di Bon Dazzi ec. in St. Chrisol.,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di san dario in san cassan,5,5,0,0,gpt,39,In Casa di S. Dario in S. Cassan | In casa di S. Dario in S. Cassan,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dazzi in san christofolo,4,0,4,0,claude,39,Casa di Bon Dazzi in S. Christofolo,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di b dandolo in san cassan,2,0,2,0,gpt,39,In casa di B. Dandolo in S. Cassan,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di ben sanudo in santi apostoli,2,0,2,0,gemini31,39,In Casa di Ben Sanudo in S.ti Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barip in san chiara,2,2,0,0,claude_thinking,39,In Casa di Bon Barip. in St. Chiara,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barip in san christal,2,0,2,0,claude_thinking,39,In Casa di Bon Barip in St. Christal,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barisoni in santi apostoli,2,0,2,0,claude_thinking,39,In Casa di Bon Barisoni in SS. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barzi in santi christiali,2,0,2,0,claude_thinking,39,In Casa di Bon Barzi in S.ti Christiali,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon d'arigo in san cassan,2,0,2,0,gpt,39,In casa di Bon d'Arigo in S. Cassan | In casa di Bon d’Arigo in S. Cassan,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dary in santi apostoli,2,2,0,0,claude_thinking,39,In Casa di Bon Dary in SS. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon darzi in san chantal,2,2,0,0,claude_thinking,39,In Casa di Bon Darzi in St. Chantal,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dazi in santi christoli,2,2,0,0,claude_thinking,39,In Casa di Bon Dazi in Sti Christoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dazzi ec in san christof,2,2,0,0,claude,39,In Casa di Bon Dazzi ec. in St. Christof.,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon saij san cancian,2,0,2,0,claude_thinking,39,"In Casa di Bon Saij, S. Cancian",wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon savj in san crisostomo,2,0,2,0,claude_thinking,39,In Casa di Bon Savj in S. Crisostomo,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di san dandolo in san cassan,2,0,2,0,gpt,39,In casa di S. Dandolo in S. Cassan,wrong
,place_of_stay,casa di bon darij santi apostoli,scudo di francia con un domestico,2,2,0,0,claude,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al scovolo del gallo prussia,1,0,1,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al scudo di francia,1,0,1,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al servizio del sig.r prussia,1,1,0,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al soveglio del re di prussia,1,0,1,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al sovegno del catt prussia,1,1,0,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al sovegto del prete bugia,1,1,0,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al sovrato del gallo prussia,1,0,1,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,al sovrzsto del re di prussia,1,1,0,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon baijloco in santi apostoli,1,1,0,0,gemini,39,Casa di Bon Baijloco in S.S. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barij in san christo,1,0,1,0,claude_thinking,39,In Casa di Bon Barij in S. Christo,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barij in san cristoforo,1,0,1,0,claude_thinking,39,In Casa di Bon Barij in San Cristoforo,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barij in sto christol,1,1,0,0,claude_thinking,39,In Casa di Bon Barij in Sto. Christol.,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barij san chrisoli,1,0,1,0,claude_thinking,39,"Casa di Bon Barij, S. Chrisoli",wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barj in san christoli,1,1,0,0,claude,39,Casa di Bon Barj in S. Christoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon barziza in san chantal,1,0,1,0,claude_thinking,39,In Casa di Bon Barziza in S. Chantal,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon d'aripoca in san cassan,1,0,1,0,gpt,39,In casa di Bon d'Aripoca in S. Cassan,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon daij in san chrial,1,1,0,0,claude_thinking,39,In Casa di Bon Daij in St. Chrial,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon darijs in san chatal,1,1,0,0,claude_thinking,39,In Casa di Bon Darijs in St. Chatal,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon david in santi apostoli,1,1,0,0,claude_thinking,39,In Casa di Bon David in SS. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon davide in san christoforo,1,1,0,0,claude_thinking,39,In Casa di Bon Davide in St. Christoforo,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dazij in san christo,1,1,0,0,claude_thinking,39,In Casa di Bon Dazij in St. Christo,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dazzi ec in san chrisoli,1,1,0,0,claude,39,In Casa di Bon Dazzi ec. in St. Chrisoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dazzi ec in santi apostoli,1,1,0,0,claude,39,In Casa di Bon Dazzi ec. in SS. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di bon dazzi in san cristoforo,1,0,1,0,claude_thinking,39,In Casa di Bon Dazzi in San Cristoforo,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di san andrea,1,1,0,0,gpt,39,In casa di S. Andrea,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di san d d dario in san cassan,1,1,0,0,gpt,39,In Casa di S. D. D. Dario in S. Cassan,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di san dandajose in santi apostoli,1,0,1,0,gpt,39,In casa di S. Dandajose in SS. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di san dandripe in san cristof,1,0,1,0,gpt,39,In casa di S. Dandripe in S. Cristof.,wrong
,place_of_stay,casa di bon darij santi apostoli,casa di san dandripe in santi apostoli,1,0,1,0,gpt,39,In casa di S. Dandripe in SS. Apostoli,wrong
,place_of_stay,casa di bon darij santi apostoli,san bastian da rio in san cassan,1,1,0,0,gpt,39,In San Bastian da rio in S. Cassan,wrong
,place_of_stay,casa di bon darij santi apostoli,san bastian dazio in san cassan,1,1,0,0,gpt,39,"In San Bastian dazio, in S. Cassan",wrong
,place_of_stay,casa di bon darij santi apostoli,san di san fantino in san cassiano,1,1,0,0,gpt,39,In San di S. Fantino in S. Cassiano,wrong
,place_of_stay,casa di bon darij santi apostoli,scudo di prussia,1,0,1,0,claude_thinking,39,,wrong
,place_of_stay,casa di bon darij santi apostoli,soverchio del sol d'oro,1,1,0,0,gemini,39,,wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danna locanda a san giovanni grisostomo,30,30,0,0,gemini31,36,In Casa di Pietro Danna loc. a S. Gio: Grisostomo,wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danna (locanda) in san giovanni grisostomo,24,0,0,24,gpt,36,"In Casa di Pietro Danna (Locanda), in S. Giovanni Grisostomo",wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,allo scudo di francia san provolo,21,0,21,0,gemini,36,Allo Scudo di Francia S. Provolo,wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danna,18,16,2,0,claude claude_thinking gemini gpt,36,In Casa di Pietro Danna | In casa di Pietro Danna | in casa di Pietro Danna,wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danna san giovanni grisostomo,15,0,15,0,claude claude_thinking,36,"In Casa di Pietro Danna S. Gio: Grisostomo | In casa di Pietro Danna S. Gio: Grisostomo | In casa di Pietro Danna S. Giovanni Grisostomo | In casa di Pietro Danna, S. Gio. Grisostomo | in casa di Pietro Danna, S. Gio. Grisostomo",wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,(blank),13,13,0,0,claude gemini,36,,wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,al scudo di francia san provolo,9,0,9,0,gemini,36,Al Scudo di Francia S. Provolo,wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danese (s giovanni grisostomo),8,0,8,0,gpt,36,In casa di Pietro Danese (S. Gio. Grisostomo),wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danna al ponte di san moise,8,8,0,0,gemini,36,In Casa di Pietro Danna al Ponte di S. Moise,wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danese in san giovanni grisostomo,6,6,0,0,gpt,36,"In casa di Pietro Danese in S. Gio. Grisostomo | In casa di Pietro Danese, in S. Gio. Grisostomo",wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danna (locanda) san giovanni grisostomo,6,0,0,6,gpt,36,"In Casa di Pietro Danna (Locanda), S. Giovanni Grisostomo",wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,allo scudo di francia,5,5,0,0,gemini,36,,wrong
,place_of_stay,casa di pietro danna locanda san giovanni grisostomo,casa di pietro danese (in san giovanni grisostomo),4,3,1,0,gpt,36,In casa di Pietro Danese (in S. Gio. Grisostomo),wrong
